customer_name,hostname,family,ndi,cbp_cnt,fn_cnt,eox_cnt,psirt_cnt,ccf_cnt,cna_cnt,slg_cnt,siar_cnt
BOA,ARHOTCE01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARHOTCE01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ARHOTCE01VAR01,2800,0.286385564,1,1,0,0,0,0,0,0
BOA,ARHOTCN-XEROX-RTR1,1800,0.177551157,2,1,0,0,0,0,0,0
BOA,ARJBOBL01IDE01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARJBOBL01R01,3800,0.233436891,0,1,0,0,0,0,0,0
BOA,ARJBOBL01VAR01,2800,0.286385564,1,1,0,0,0,0,0,0
BOA,ARJBOEH01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARJBOSD01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARJVEGP01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLNKAH01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRAD01R2,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRAD01R3,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRBB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRCH01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTREM01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRGS01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRHT01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRKB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRKR01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRLD01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRMB01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRMBD1E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRMBLLVAR01,3800,0.233436891,2,1,0,0,0,0,0,0
BOA,ARLTRMBLLVDM01,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRMC01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRMS01R1,1800,0.177551157,0,1,0,0,0,0,0,0
BOA,ARLTRRP01E1,C3560,0.22353965,0,1,0,0,0,0,0,0
BOA,ARLTRST03BDM01,C3560,0.22353965,1,1,0,0,0,0,0,0
BOA,ARLTRST03BDM02,C3560,0.22353965,1,1,0,0,0,0,0,0
